min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
100.0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
101.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
103.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
104.0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
105.0	1	1	0	0	1	2	0	0	0	0	2	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
107.0	0	0	0	1	1	2	0	2	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108.0	1	0	0	1	4	3	0	0	0	0	2	2	2	0	0	1	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
110.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
113.0	3	1	2	2	2	3	0	0	0	1	0	3	2	2	0	2	0	2	0	2	1	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
114.0	0	0	0	0	2	2	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
118.0	1	2	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	2	1	0	2	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0
119.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
121.0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
123.0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
128.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132.0	4	5	4	4	3	4	5	3	5	4	6	4	6	2	6	3	4	5	5	4	5	2	3	4	2	1	3	2	3	0	4	7	4	3	6	4	3	2	0
134.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	0	0	0
137.0	0	0	0	1	0	1	2	2	1	1	1	1	0	1	2	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
138.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	0	1	0	1	0	1	0	0	0	0	0	0
139.0	1	1	0	1	1	1	0	0	1	0	0	0	1	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141.0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
144.0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
