charge	min	max	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
pos	99.99999999999886	100.09999999999886	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	101.1999999999988	101.29999999999879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pos	103.19999999999868	103.29999999999868	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	103.99999999999864	104.09999999999863	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
pos	104.19999999999862	104.29999999999862	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	105.19999999999857	105.29999999999856	1	1	0	0	1	2	0	0	0	0	2	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
pos	107.39999999999844	107.49999999999844	0	0	0	1	1	2	0	2	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	108.39999999999839	108.49999999999838	1	0	0	1	3	1	0	0	0	0	2	2	2	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	108.79999999999836	108.89999999999836	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	110.19999999999828	110.29999999999828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	113.59999999999809	113.69999999999808	2	1	2	2	1	3	0	0	0	1	0	3	2	2	0	2	0	1	0	2	1	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
pos	113.79999999999808	113.89999999999807	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	113.99999999999807	114.09999999999806	0	0	0	0	2	2	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
pos	117.99999999999784	118.09999999999783	1	2	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	2	1	0	2	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0
pos	119.89999999999773	119.99999999999773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
pos	120.99999999999767	121.09999999999766	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	122.1999999999976	122.2999999999976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	122.99999999999756	123.09999999999755	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	127.29999999999731	127.3999999999973	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
pos	128.69999999999723	128.79999999999723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	131.99999999999704	132.09999999999704	1	1	1	1	0	1	2	1	0	1	2	1	2	1	2	0	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	0	0
pos	132.09999999999704	132.19999999999703	3	4	3	3	3	3	3	2	5	3	4	3	4	1	4	3	2	4	3	2	4	2	3	4	2	1	3	2	3	0	4	5	3	2	4	3	2	2	0
pos	134.89999999999688	134.99999999999687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	0	0	0
pos	136.99999999999676	137.09999999999675	0	0	0	1	0	1	2	2	1	1	1	1	0	1	2	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
pos	137.9999999999967	138.0999999999967	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	0	1	0	1	0	1	0	0	0	0	0	0
pos	139.39999999999662	139.49999999999662	1	1	0	1	1	1	0	0	1	0	0	0	1	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	140.99999999999653	141.09999999999653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
pos	141.4999999999965	141.5999999999965	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	144.09999999999636	144.19999999999635	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	144.59999999999633	144.69999999999632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
pos	146.09999999999624	146.19999999999624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pos	146.9999999999962	147.0999999999962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	2	1	0
pos	147.0999999999962	147.19999999999618	1	1	1	1	0	1	1	2	0	0	0	0	0	1	1	1	2	1	2	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	2	0
pos	147.99999999999613	148.09999999999613	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	2	0	0	0	0	1	0	1	0
pos	149.99999999999602	150.09999999999602	0	1	0	0	1	1	1	0	1	0	0	2	0	1	0	0	0	1	0	1	0	2	0	2	2	2	1	3	2	0	1	0	2	0	1	1	0	1	0
pos	150.99999999999596	151.09999999999596	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	2	1	1	0	1	1	1	2	1	0	0	0	1	2	1	1	0	1	1	1	0	1
pos	151.09999999999596	151.19999999999595	1	0	1	1	1	0	1	0	1	0	1	0	0	2	1	1	2	1	2	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0
pos	151.8999999999959	151.9999999999959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
