charge	min	max	sample1.peak.table	sample2.peak.table	sample.peak.table
pos	500.9168393393281	500.9170897977478	0	0	1
pos	501.1385440338876	501.1387946031597	0	0	1
pos	501.2367767904695	501.2370274088579	0	0	1
pos	502.1696934542655	502.16994453911224	0	0	1
pos	502.30404178198467	502.3042929340056	0	0	1
pos	502.3088136918559	502.3090648462628	0	0	1
pos	502.3326739212205	502.3329250875575	0	0	1
pos	503.2082482391329	503.2084998432571	0	0	1
pos	504.18642791785214	504.18668001106613	0	0	1
pos	504.1919739976769	504.1922260936639	0	0	2
pos	504.1922260936639	504.192478189777	0	0	1
pos	504.872082899108	504.8723353351495	0	0	1
pos	505.1766124954519	505.1768650837582	0	0	1
pos	506.17127257118767	506.171525656824	0	0	1
pos	506.1968348595079	506.19708795792536	0	0	1
pos	506.2082244135785	506.2084775176907	0	0	1
pos	509.16116337255494	509.16141795313666	0	0	1
pos	509.16141795313666	509.16167253384566	0	0	1
pos	510.7420116328286	510.74226700383446	0	0	1
pos	511.06106955484023	511.061325085375	0	0	1
pos	512.1377298251034	512.1379858939683	0	0	1
pos	513.292363333528	513.2926199797097	0	0	1
pos	515.1649244030378	515.1651819855001	0	0	1
pos	515.1716215889134	515.1718791747242	0	0	1
pos	515.986235923342	515.98649391646	0	0	1
pos	516.2282901647916	516.2285482789367	0	0	1
pos	516.7078306045885	516.7080889585038	0	0	1
pos	516.7217819008706	516.7220402617615	0	0	1
pos	516.7228153452096	516.7230737066174	0	0	1
pos	516.7246238777764	516.7248822400884	0	0	1
pos	516.8468436727073	516.8471020961292	0	0	1
pos	516.9701263149913	516.9703848000545	0	0	1
pos	516.9714187415997	516.9716772273091	0	0	1
pos	516.9719357131478	516.9721941991157	0	0	1
pos	517.152648937322	517.1529075136466	0	0	1
pos	517.157820488377	517.1580790672872	0	0	1
pos	517.2180728690419	517.2183314780783	0	0	1
pos	517.341961401598	517.3422200725788	0	0	1
pos	517.4661383419443	517.4663970750136	0	0	1
pos	517.7138050767985	517.714063933701	0	0	1
pos	517.714322790733	517.7145816478944	0	0	2
pos	517.9628852537872	517.96314423523	0	0	1
pos	518.0872112337057	518.0874702773114	0	0	1
pos	518.218822066342	518.2190811757531	0	0	1
pos	518.3356935582818	518.3359527261287	0	0	1
pos	518.3362118941051	518.3364710622111	0	0	1
pos	518.4606274831451	518.4608867134589	0	0	2
pos	518.585072935504	518.5853322280404	0	0	1
pos	518.7100669680274	518.7103263230609	0	0	1
pos	518.8345722930325	518.8348317103187	0	0	1
pos	518.9596264621308	518.9598859419441	0	0	1
pos	519.1778948182275	519.1781544071749	0	0	1
pos	519.2090464186715	519.2093060231947	0	0	2
pos	519.2095656278477	519.2098252326306	0	0	1
pos	519.3341908468875	519.3344505139829	0	0	1
pos	519.3349698485633	519.3352295160483	0	0	1
pos	519.5850897855928	519.5853495781378	0	0	1
pos	519.709545286451	519.7098051412237	0	0	1
pos	519.7100649961263	519.7103248511588	0	0	1
pos	519.7105847063212	519.7108445616136	0	0	1
pos	519.9598456249363	519.9601056048591	0	0	2
pos	519.9606255650948	519.9608855454076	0	0	1
pos	520.0862111886436	520.0864712317492	0	0	1
pos	520.3364327671692	520.3366929353856	0	0	1
pos	520.3377336095522	520.337993778419	0	0	1
pos	520.7125115879896	520.7127719442454	0	0	1
pos	521.1818848645632	521.1821454555057	0	0	1
pos	521.467310003212	521.4675707368671	0	0	1
pos	522.2252914323532	522.2255525449989	0	0	1
pos	522.3780646339164	522.3783258229488	0	0	1
pos	523.1766066593249	523.1768682476282	0	0	1
pos	523.1771298360624	523.1773914246273	0	0	1
pos	523.1870702934797	523.1873318870148	0	0	1
pos	524.146951415781	524.1472134892567	0	0	1
pos	525.1794880409593	525.1797506307033	0	0	1
pos	525.192355092822	525.1926176889996	0	0	1
pos	525.1926176889996	525.1928802853084	0	0	1
pos	526.1169811846436	526.1172442431342	0	0	1
pos	526.1893272251555	526.1895903198191	0	0	1
pos	527.1718493321566	527.1721129180813	0	0	1
pos	527.2079618316515	527.2082254356324	0	0	1
pos	527.2082254356324	527.2084890397451	0	0	1
pos	527.2084890397451	527.2087526439897	0	0	1
pos	529.1807649926553	529.1810295830379	0	0	1
pos	529.1873797919075	529.1876443855974	0	0	1
pos	529.2209842490579	529.2212488595501	0	0	1
pos	529.7234532213797	529.7237180831064	0	0	1
pos	531.136251945506	531.136517513632	0	0	1
pos	532.0716085857921	532.0718746215964	0	0	1
pos	532.2352457224662	532.2355118400891	0	0	1
pos	536.229146019117	536.22941413369	0	0	1
