charge	min	max	01026.peak.table	01038.peak.table
pos	500.19753896201973	500.19778906078926	1	0
pos	500.19778906078926	500.19803915968384	0	1
neg	500.1995397556772	500.19978985544714	0	1
neg	500.235555410089	500.2358055278667	0	1
neg	500.2473110808324	500.24756120448797	1	0
pos	500.2753257076555	500.2755758453184	0	1
pos	500.2755758453184	500.2758259831063	1	0
pos	500.2870823130116	500.28733245655275	1	0
pos	500.29858904535655	500.2988391946511	1	0
pos	500.37464019163025	500.3748903789504	1	0
neg	500.63540323689	500.63565355459167	1	1
pos	500.6812134606266	500.6814638012334	0	1
neg	500.85222525089574	500.8524756770084	1	0
pos	500.90531838739315	500.90556884005235	1	0
pos	500.90556884005235	500.9058192928368	0	1
neg	500.9193439291604	500.91959438883237	1	0
neg	500.91959438883237	500.9198448486296	0	1
pos	501.01001851355807	501.0102690185674	0	1
pos	501.16761090511	501.1678614889155	0	1
pos	501.2302607563536	501.230511371484	1	0
pos	501.2640949323913	501.26434556443877	1	0
neg	501.27111267709097	501.27136331264734	1	0
neg	501.27136331264734	501.27161394832905	1	0
neg	501.30770679484203	501.30795744869545	1	0
pos	501.34254888250706	501.34279955378156	0	1
pos	501.3430502251814	501.3433008967065	2	2
pos	501.3438022401328	501.34405291203393	0	1
pos	501.35458124506164	501.3548319223523	1	0
pos	501.3793989048639	501.3796495945634	0	1
pos	501.8840402461077	501.88429118812786	0	1
neg	501.920428148979	501.9206791091931	1	0
neg	501.9206791091931	501.9209300695327	0	1
neg	501.95179914823336	501.952050124133	0	1
pos	502.08834857336416	502.0885996175385	1	0
pos	502.1611566441729	502.16140772475126	1	0
pos	502.1955558529676	502.1958069507455	1	0
pos	502.19831793543034	502.19856903458935	1	0
pos	502.19932233281963	502.19957343248086	1	0
pos	502.2025866382082	502.20283773950155	1	0
pos	502.21112415261655	502.21137525817863	1	0
pos	502.21263078787246	502.2128818941879	1	0
pos	502.2128818941879	502.2131330006289	0	1
pos	502.2133841071954	502.21363521388747	1	0
pos	502.2156440719441	502.21589517976616	1	0
neg	502.216397395787	502.2166485039857	1	0
pos	502.2186573740955	502.21890848342423	0	1
pos	502.2231773612224	502.2234284728111	1	0
pos	502.23372415605263	502.23397527291473	1	0
pos	502.2342263899024	502.23447750701564	0	1
pos	502.23849539790336	502.23874651715107	1	1
pos	502.2405043554009	502.2407554756531	0	1
pos	502.2425133209343	502.24276444219095	1	0
pos	502.2430155635732	502.243266685081	1	0
pos	502.2455267843016	502.245777907065	0	1
pos	502.24653127610867	502.24678239937435	0	1
pos	502.24879139001996	502.2490425144157	1	0
neg	502.2497958883563	502.2500470132543	1	0
pos	502.2575808185805	502.25783194737096	0	1
pos	502.2595898524198	502.25984098221477	0	1
pos	502.261096633073	502.26134776362136	1	0
pos	502.26134776362136	502.2615988942953	1	0
pos	502.2626034182466	502.26285454954836	0	1
pos	502.26561700215507	502.2658681349636	0	1
pos	502.26888173846055	502.2691328729015	0	1
neg	502.27139308852037	502.27164422421697	1	0
neg	502.2944980982407	502.29474924548975	2	0
neg	502.29474924548975	502.29500039286444	0	1
pos	502.3266459668074	502.3268971301304	0	1
pos	502.329911099802	502.3301622647576	1	0
pos	502.3349344227745	502.33518559024174	0	1
pos	502.375122815001	502.37537400256247	1	0
pos	502.3901942909909	502.3904454860881	1	0
pos	502.4112951169932	502.4115463226408	1	0
pos	502.4115463226408	502.411797528414	1	0
neg	502.41908255047423	502.41933376001555	0	1
pos	502.42159465153964	502.421845862337	0	1
pos	502.62159819430275	502.62184950510186	0	1
neg	502.6316507242799	502.6319020401053	1	0
neg	502.6326559883354	502.63290730466343	0	1
pos	502.6763869207475	502.676638258941	1	0
neg	502.8488344514345	502.8490858758518	1	0
neg	502.8495887250635	502.84984014985787	0	1
neg	502.9169750678997	502.9172265263873	1	0
neg	502.9172265263873	502.91747798500063	0	1
neg	503.0321562141491	503.03240773022725	1	1
neg	503.03240773022725	503.03265924643114	0	1
neg	503.16195522137275	503.1622068023504	3	1
neg	503.1622068023504	503.16245838345384	0	1
neg	503.1627099646831	503.1629615460381	0	1
pos	503.17176697271225	503.17201855859577	0	1
pos	503.19742938080213	503.19768097951686	0	1
neg	503.1981841773237	503.1984357764158	1	0
pos	503.20875144750704	503.2090030518828	0	1
neg	503.2422159337986	503.2424675549066	1	0
pos	503.2751793702468	503.2754310078365	0	1
neg	503.2857482573458	503.28599990021996	0	1
pos	503.28599990021996	503.28625154322	1	0
neg	503.28700647297484	503.2872581164781	1	0
pos	503.2872581164781	503.2875097601072	1	0
neg	503.2872581164781	503.2875097601072	1	0
neg	503.3229927714408	503.3232444329372	1	0
neg	503.32500606693543	503.3252577294385	1	0
neg	503.9182721409626	503.9185241000987	1	0
pos	503.9721942673912	503.9724462534884	1	0
neg	504.13575974062485	504.13601180850475	1	0
pos	504.1922260936639	504.192478189777	1	0
pos	504.192478189777	504.1927302860161	1	1
pos	504.2527327760053	504.25298490237174	0	1
neg	504.26836484911144	504.2686169832939	1	0
neg	504.29080528503624	504.2910574304389	1	0
pos	504.30694284497287	504.30719499844434	2	0
pos	504.3089600762747	504.3092122307547	1	0
pos	504.30946438536085	504.30971654009306	1	0
pos	504.30971654009306	504.30996869495135	1	0
pos	504.3102208499357	504.31047300504616	0	1
neg	504.3102208499357	504.31047300504616	1	0
neg	504.31047300504616	504.3107251602827	1	0
neg	504.3107251602827	504.3109773156453	0	2
pos	504.3538455598803	504.3540977368031	1	0
pos	504.3692285829162	504.36948076753055	1	0
pos	504.4254688731888	504.42572108592327	1	0
neg	504.62980251179755	504.6300548266988	1	1
pos	504.846587509056	504.8468399323498	1	0
pos	504.8675390719445	504.8677915057141	1	0
pos	504.8677915057141	504.8680439396099	0	1
neg	504.91499883933335	504.9152512968328	1	0
neg	504.9152512968328	504.9155037544585	0	1
neg	505.02937501060427	505.0296275252918	0	2
pos	505.11321682458527	505.11346938119374	0	1
pos	505.11346938119374	505.11372193792846	0	1
pos	505.1756021434897	505.1758547312908	0	1
pos	505.1758547312908	505.1761073192182	0	1
pos	505.1763599072719	505.1766124954519	1	1
pos	505.1768650837582	505.1771176721908	0	1
pos	505.2536577841608	505.2539104109897	1	0
pos	505.2539104109897	505.2541630379449	0	1
neg	505.25871034473903	505.25896297409423	2	0
neg	505.2733630561411	505.27361569282266	1	0
pos	505.2877635485961	505.2880161924779	1	0
pos	505.33753683216315	505.3377895009316	1	0
pos	505.3380421698264	505.3382948388475	1	0
pos	505.352191829566	505.35244450566194	0	1
pos	505.35244450566194	505.3526971818842	1	0
neg	505.37644931088766	505.37670199911236	1	0
pos	505.755876603576	505.75612948151434	1	0
pos	505.7917865366298	505.7920394325231	1	0
neg	505.91546771694277	505.91572067467666	0	1
neg	505.9162265905239	505.9164795486372	1	0
pos	505.95391874400224	505.95417172096165	1	0
pos	506.02931147567665	506.0295644903324	1	0
pos	506.23910404937146	506.2393571689235	1	0
pos	506.27150438073454	506.2717575164868	0	1
